filepath,filename,emotion,emotion_code,intensity,statement,repetition,actor,gender,vocal_channel,modality
Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,neutral,01,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,neutral,01,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,neutral,01,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,neutral,01,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,calm,02,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,calm,02,normal,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,calm,02,normal,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,calm,02,normal,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,calm,02,strong,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,calm,02,strong,Kids are talking by the door,02,1,male,speech,audio-only
Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,calm,02,strong,Dogs are sitting by the door,01,1,male,speech,audio-only
Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,calm,02,strong,Dogs are sitting by the door,02,1,male,speech,audio-only
Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,happy,03,normal,Kids are talking by the door,01,1,male,speech,audio-only
Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,happy,03,normal,Kids are talking by the door,02,1,male,speech,audio-only
